 rahogI	 raha
 WA - munnA	 WA - munnA
 bahakabahakakara	 bahakabahakakara
 ulaJI	 ulaJA
 ulaJe	 ulaJA
 hE - vAha	 hE - vAha
 JeMpawe	 JeMpa
 ho - hokara	 ho - ho
 JeMpawI	 JeMpa
 We - ve	 WA - vaha
 bUDZI	 bUDZA
 cuka	 cuka
 pAyegA	 pA
 bIwa	 bIwa
 AveM	 AvAz
 GatawI - baDZawI	 Gata - baDZa
 soca - socakara	 soca - soca
 bahane	 baha
 bahAyeM	 bahA
 WIM - Apa	 WA - Apa
 talUzgI	 tala
 wyAganA	 wyAga
 liKoge	 liKa
 biCAe	 biCA
 biCAI	 biCAI
 socawe - kahIM	 soca - kahIM
 biCAo	 biCA
 cupa	 cupa
 kahA - mAlUma	 kahA - mAlUma
 lapetane	 lapeta
 kamA - kamAkara	 kamA - kamA
 calanA	 calanA
 nikAla - nikAlakara	 nikAla - nikAla
 uKAdZawe	 uKAdZa
 jaraxA - SIramAla	 jaraxA - SIramAla
 mAregA	 mAra
 KelUMgA	 Kela
 girawA	 gira
 biCAyA	 biCA
 bolI - usake	 bolI - usaka
 jAyaMge	 jAyaMge
 KatakanA	 Kataka
 CodA	 CodA
 saSabxa	 saSabxa
 pilAI	 pilA
 banane	 bana
 pilAo	 pilA
 kahA - kEsI	 kahA - kEsA
 lagAnI	 lagA
 wOlane	 wOla
 kucalanA	 kucala
 Bugawe	 Bugawa
 raMga	 raMga
 kahA - muJase	 kahA - muJasA
 JAzkakara	 JAzka
 pahacAnIM	 pahacAna
 lAwIM	 lA
 raha	 raha
 pUCA - kEse	 pUCa - kEse
 pUCA - kEsI	 pUCa - kEsA
 BijavAie	 BijavA
 mAMganI	 mAMga
 JidZakawI	 JidZaka
 mAMgane	 mAMga
 cAtUMgA	 cAta
 huA - hA	 ho - hA
 pasAreMgI	 pasAra
 bole - isalie	 bola - isalie
 XamakAie	 XamakA
 jAUz	 jA
 cIKane	 cIKa
 padZA - yaha	 padZA - yaha
 jAUM	 jA
 gUMge	 gUMgA
 macAwA	 macA
 AwejAwe	 AwejAwe
 sUraxAsa - aba	 sUraxAsa - aba
 laharAwA	 laharAwA
 udZAeM	 udZA
 mAMgogI	 mAMga
 mAMgoge	 mAMga
 sunawIM	 suna
 KolanA	 Kola
 kahawe - aba	 kaha - aba
 sakA	 saka
 KIMca	 KIMca
 kiyA - isa	 kara - yaha
 hilegA	 hila
 aBAgA	 aBAgA
 rahawe	 raha
 girAe	 girA
 tatolanA	 tatola
 girAo	 girA
 baDZegA	 baDZa
 GadZI - Bara	 GadZI - Bara
 gayA - jarUra	 jA - jarUra
 livAe	 livA
 pahanawI	 pahana
 pahanawe	 pahana
 royeM	 royAz
 samAne	 samA
 WIM - eka	 WA - eka
 raKa	 raKa
 cUmakara	 cUma
 xiKI	 xiKa
 nikalavA	 nikalavA
 nikAlakara	 nikAla
 kahawA - Ao	 kaha - Ao
 GabarAyA	 GabarAyA
 xiKalAyA	 xiKalA
 pitavA	 pitavA
 KAeMgI	 KA
 bAjZa	 bAjZa
 BAgeMge	 BAga
 hato	 hata
 mukara	 mukara
 hatI	 hata
 kuDZawA	 kuDZa
 hate	 hata
 sihara	 sihara
 wulavAne	 wulavA
 nikalavAegI	 nikalavA
 calanevAlI	 cala
 kahA - mEM	 kahA - mEM
 TTaMka	 TTaMka
 camakAkara	 camakA
 jala - Bunakara	 jala - Buna
 cala - Pira	 cala - Pira
 kahA - le	 kahA - le
 kahA - lo	 kahA - lo
 pUCA - wumhAre	 pUCa - wU
 bulA - bulAkara	 bulA - bulA
 curAe	 curA
 lagI - saba	 lagA - saba
 jowo	 jowa
 bolA - sUre	 bolA - sUre
 jowI	 jowI
 godZane	 godZa
 JeMpe	 JeMpa
 cAteMge	 cAta
 Aie	 A
 KulawA	 KulawA
 lOtAne	 lOtA
 lUtanA	 lUta
 pIta - pItakara	 pIta - pIta
 paDZeMge	 paDZa
 wuwalAkara	 wuwalA
 giravI	 giravI
 gina	 gina
 hilane	 hila
 ladZAkara	 ladZA
 gira	 gira
 BoganI	 Boga
 Bogane	 Boga
 cewa	 cewa
 pAzva - pAzva	 pAzva - pAzva
 pahuMcAwA	 pahuMcA
 kAMpane	 kAMpa
 sarAhawA	 sarAha
 bole - agara	 bola - agara
 raKane	 raKa
 raKanI	 raKa
 GUrawA	 GUra
 mAzganI	 mAzga
 pAegA	 pA
 masosawI	 masosa
 mAzgane	 mAzga
 bolA - magara	 bolA - magara
 CUte	 CUtA
 kahanA	 kahanA
 CapA	 CapA
 AyI	 A
 Aye	 A
 pIlA	 pIlA
 nAcawI	 nAca
 nAcawe	 nAca
 WamI	 WamA
 KuleM	 Kula
 haMse	 haMsa
 Bogo	 Boga
 bilabilA	 bilabilA
 Boge	 Boga
 We - yaha	 WA - yaha
 kiyA - lekina	 kara - lekina
 WAme	 WAma
 sunA	 sunA
 kahA - isakA	 kahA - yaha
 beceMge	 beca
 xahala	 xahala
 bAMXAwA	 bAMXAwA
 xeKawA	 xeKa
 manAUzgA	 manA
 Aye - apanI	 A - apanA
 GUma - GUmakara	 GUma - GUma
 jIwejI	 jIwejI
 KZarIxa	 KZarIxa
 hE - cAhe	 hE - cAhe
 manavAnA	 manavA
 liKeMge	 liKa
 rewa	 rewa
 soco	 soca
 boyA	 boyA
 soce	 soca
 socI	 soca
 girUMgA	 gira
 sunUzgA	 suna
 pIteM	 pIta
 kAtanI	 kAta
 ladZawI	 ladZa
 gaDZawA	 gaDZa
 calAwA	 calA
 milAwe	 milA
 uTe - nahIM - nahIM	 uTA - nahIM - nahIM
 pategA	 pata
 xeKanevAle	 xeKa
 sunAUz	 sunA
 wAdZakara	 wAdZa
 sunAUM	 sunA
 sisakakara	 sisaka
 buJAne	 buJA
 sUJawA	 sUJa
 bole - Apa	 bola - Apa
 samaJAwe	 samaJA
 uBarI	 uBarA
 KAIM	 KA
 seye	 se
 samaJAwI	 samaJA
 pAle	 pAlA
 pIne	 pI
 besababa	 besababa
 hUka - sI	 hUka - sI
 lAiegA	 lA
 pAlo	 pAla
 KarIxI	 KarIxa
 pahacAnawA	 pahacAna
 bolI - nahIM	 bolI - nahIM
 rama	 rama
 CidZaka	 CidZaka
 BarawA	 BarawA
 pahacAne	 pahacAnA
 CodZa	 CodZa
 sulAyA	 sulA
 kahA - hAz - hAz	 kahA - hAz - hAz
 kahA - wumase	 kahA - wumasA
 jawAkara	 jawA
 rata	 rata
 raca	 raca
 Jelakara	 Jela
 KoleMge	 Kola
 haMsane - Kelane	 haMsa - Kela
 BogeM	 Boga
 BadZakAyA	 BadZakA
 rowA	 rowA
 WI - BAiyo	 WA - BAiyo
 PeMkakara	 PeMka
 biKera	 biKera
 sarAhA	 sarAha
 ladA	 ladA
 ladZa	 ladZa
 datI	 data
 CapavAkara	 CapavA
 date	 data
 bilAyawI	 bilAyawI
 udZAne	 udZA
 kUxa	 kUxa
 pakadZanevAlA	 pakadZa
 nAcegI	 nAca
 Xokara	 Xo
 sunaharI	 sunaharA
 kahA - wumhIM	 kahA - wU
 sikudZI	 sikudZA
 kahUzgA	 kaha
 sikudZe	 sikudZA
 TahariegA	 Tahara
 pagalI	 pagalI
 malamalakara	 malamalakara
 kahA - yAra	 kahA - yAra
 banavAne	 banavA
 loge	 le
 pUjawA	 pUja
 logI	 le
 xIvAne - se	 xIvAnA - se
 uTA - KUba	 uTA - KUba
 CatapatAyA	 CatapatA
 kucalawI - masalawI	 kucala - masala
 paca	 paca
 kiyA - hama	 kara - mEM
 hUz - bawAo	 hE - bawA
 kahA - swrI	 kahA - swrI
 ho - yAnI	 ho - yAnI
 mArawe - pItawe	 mAra - pIta
 CodZUzgI - jahAz	 CodZa - jahAz
 PazsAwe	 PazsA
 kahA - priye	 kahA - priye
 kahA - muJe	 kahA - mEM
 PazsAwI	 PazsA
 barasane	 barasa
 xiyA - wU	 xiyA - wU
 kiyA - mahanwajI	 kara - mahanwajI
 rukakara	 ruka
 pA	 pA
 We - xAxA	 WA - xAxA
 kahA - acCI	 kahA - acCA
 Gisa	 Gisa
 takarAwI	 takarA
 laharAyA	 laharA
 DalI	 Dala
 baDZa - caDZakara	 baDZa - caDZa
 haMsI - xillagI	 haMsa - xillagI
 udZAIM	 udZA
 BEroM - A	 BEroM - A
 samaJanA - mEM	 samaJa - mEM
 bole - BEyA	 bola - BEyA
 nAce - yaxeMge	 nAca - yaxeMge
 We - WAyasa	 WA - WAyasa
 ulata - palata	 ulata - palata
 ciMGGAdZa	 ciMGGAdZa
 kahA - sunI	 kahA - suna
 pUCA - koI	 pUCa - koI
 bolI - Pira	 bolI - Pira
 CudZavA	 CudZavA
 gayA - mEM	 jA - mEM
 pUCA - iXAra	 pUCa - iXAra
 Ubakara	 Uba
 xAbe	 xAba
 samaJA - koI	 samaJA - koI
 bazXavAne	 bazXavA
 pahanAyA	 pahanA
 bilaKa	 bilaKa
 nahAnA - XonA	 nahA - Xo
 xiyA - aBI	 xiyA - aBI
 bolA - kiwanA	 bolA - kiwanA
 mazgavAne	 mazgavA
 TukarAoge	 TukarA
 kosa - kosakara	 kosa - kosa
 hEM - basa	 hE - basa
 WA - wuma	 WA - wU
 hE - hama	 hE - mEM
 bolI - mEMne	 bolI - mEM
 KAwI - pIwI	 KAwI - pI
 xIjiyegA	 xe
 ho - mere	 ho - merA
 kuDZa - kuDZakara	 kuDZa - kuDZa
 xiyA - vahI	 xiyA - vahI
 gayA - vaha	 jA - vaha
 gunagunA	 gunagunA
 TAkuraxIna - mEM	 TAkuraxIna - mEM
 dUbUzgI	 dUba
 dalavA	 dalavA
 A - jA	 A - jA
 haMsawe - haMsawe	 haMsa - haMsa
 hArUzgA	 hAra
 kahA - so	 kahA - so
 uTA - yaxi	 uTA - yaxi
 xiKalAkara	 xiKalA
 lagI - hamAre	 lagA - mEM
 pUCA - yaha	 pUCa - yaha
 karavAyeMge	 karavA
 hEM - yaxi	 hE - yaxi
 kahA - bilakula	 kahA - bilakula
 xabAI - kaBI	 xabA - kaBI
 bazXe	 bazXA
 basUz	 basa
 bacanA	 baca
 CalaCalA	 CalaCalA
 ulatane - palatane	 ulata - palata
 bolI - wUne	 bolI - wU
 uTAveM	 uTA
 milane - julane	 mila - julane
 xOdZI - xOdZI	 xOdZa - xOdZa
 digAne	 digA
 jutAwA	 jutA
 pIsawe - pIsawe	 pIsa - pIsa
 uwarIba	 uwarIba
 Dakelakara	 Dakela
 xulAre	 xulArA
 galI - buJI	 galI - buJA
 caDakZara	 caDa
 mila - julakara	 mila - julakara
 bolA - BEroM	 bolA - BEroM
 uCalawI - kUxawI	 uCala - kUxa
 kahA - Apane	 kahA - Apa
 sahamakara	 sahama
 banUzgA	 bana
 KilAoge	 KilA
 mara - marakara	 mara - mara
 AIM - kaBI	 A - kaBI
 KojeM	 Koja
 uwarIM	 uwara
 bajeM	 baja
 hAzPawA	 hAzPa
 GirI	 GirA
 bawAI - yaha	 bawA - yaha
 CatapatAwA	 CatapatA
 haMsa - bolakara	 haMsa - bola
 xabocA	 xabocA
 bole - Pira	 bola - Pira
 uTA - wumhArI	 uTA - wU
 kahA - are	 kahA - are
 AyA - iwanA	 AyA - iwanA
 KalawA	 Kala
 uTI - merA	 uTA - merA
 samhAlanA	 samhAla
 kahA - arjI	 kahA - arjI
 hE - pAlA	 hE - pAlA
 pazhuce	 pazhuce
 WI - vahI	 WA - vahI
 jAUz - apanI	 jA - apanA
 modZUz	 modZa
 pUCA - jaba	 pUCa - jaba
 hogA - vahAz	 ho - vahAz
 gunagunAnA	 gunagunA
 biwAwA	 biwA
 le - xekara	 le - xe
 hE - merA	 hE - merA
 iMxu - mEM	 iMxu - mEM
 soPZiyA - wuma	 soPZiyA - wU
 kiyA - soPiyA	 kara - soPiyA
 kiyA - jiwane	 kara - jiwanA
 raKawIM	 raKa
 pahananA - oDZanA	 pahana - oDZanA
 mArA - pItA	 mArA - pIta
 kahA - hujUra	 kahA - hujUra
 lagI - mi	 lagA - mi
 CipanA	 Cipa
 xiKAUz	 xiKA
 bOKalAyA	 bOKalA
 KelAoge	 KelA
 Batakawe - Batakawe	 Bataka - Bataka
 rulAne	 rulA
 Kola - Kolakara	 Kola - Kola
 xiKalAyI	 xiKalA
 samaJawI - samaJAwI	 samaJa - samaJA
 tale	 tala
 lagA - aba	 lagA - aba
 KAwA - pIwA	 KAwA - pI
 PUzkawA	 PUzka
 gujArA - kevala	 gujArA - kevala
 uwarawe - uwarawe	 uwara - uwara
 pUCA - aba	 pUCa - aba
 batoranA	 batora
 milAyA - koI	 milAyA - koI
 kahA - EsI	 kahA - EsA
 nicodZane	 nicodZa
 kahA - Ese	 kahA - Ese
 hEM - use	 hE - vaha
 bole - wuma - jEse	 bola - wU - jEse
 cupakA - cupakA	 cupakA - cupakA
 kahA - ASrama	 kahA - ASrama
 tokakara	 toka
 bETI - bETI	 bETa - bETa
 raheM - yaha	 raha - yaha
 bolA - mEMne	 bolA - mEM
 bolA - yaha	 bolA - yaha
 karanA - XAranA	 kara - XAranA
 hUz - mere	 hE - merA
 lagUzgA	 laga
 kahA - inhIM	 kahA - yaha
 lage - ina	 lagA - yaha
 kahA - acCA	 kahA - acCA
 PazsI	 PazsA
 tukura - tukura	 tukura - tukura
 bolI - vaha	 bolI - vaha
 kahA - isIlie	 kahA - isIlie
 pAlA - posA	 pAlA - posA
 iMxraxawwA - ho	 iMxraxawwA - ho
 beXe	 beXa
 bole - yaha	 bola - yaha
 xI - Apa	 xe - Apa
 ro - Xokara	 ro - Xo
 hE - muhabbawa	 hE - muhabbawa
 bolI - kahawe	 bolI - kaha
 Pera - Pera	 Pera - Pera
 We - mubAraka	 WA - mubAraka
 bolI - betA	 bolI - betA
 hE - vAha	 hE - vAha
 lagAIM	 lagA
 pUCe - gaCe	 pUCa - gaCe
 BUlawe - BUlawe	 BUla - BUla
 DakI	 Daka
 suXarawA	 suXara
 xiyA - lekina	 xiyA - lekina
 lalakArA - KadZe	 lalakAra - KadZA
 GUmI	 GUma
 Jatakakara	 Jataka
 xI - kasama	 xe - kasama
 jAiyegA	 jA
 palateMge	 palata
 paDUz	 paDa
 Daka	 Daka
 Katakane	 Kataka
 GUmane - Pirane	 GUma - Pira
 pitI	 pitA
 gayA - Apa	 jA - Apa
 bolA - badA	 bolA - badA
 soPZiyA - yaha	 soPZiyA - yaha
 bolA - ApakI	 bolA - Apa
 gayA - Aha	 jA - Aha
 kahA - dArliMga	 kahA - dArliMga
 xuhA	 xuhA
 ujele	 ujelA
 kahA - kevala	 kahA - kevala
 Awe - jAwe	 A - jA
 xewIM - bahana	 xe - bahana
 BarrAyA	 BarrA
 PeMkawI	 PeMka
 hEM - hama	 hE - mEM
 BUnawI	 BUna
 CudZAwe	 CudZA
 mAra - pItakara	 mAra - pIta
 GatawI - baDZawI	 Gata - baDZa
 CudZAwI	 CudZA
 sugabugAne	 sugabugA
 caDZane - uwarane	 caDZa - uwara
 Ane - jAne	 AnA - jAna
 koI - na	 koI - na
 sawA	 sawA
 milawA - wo	 mila - wo
 pUCA - kaho	 pUCa - kaha
 pUCA - sanwakumAra	 pUCa - sanwakumAra
 ragadZawA	 ragadZa
 biwAo	 biwA
 hE - para	 hE - para
 bOKalAye	 bOKalA
 bolI - isa	 bolI - yaha
 nahalA	 nahalA
 padZe - padZe	 padZA - padZA
 pUCA - kyoM	 pUCa - kyoM
 kI - merA	 kA - merA
 banAiye	 banA
 kahA - wumheM	 kahA - wU
 bolI - pahale	 bolI - pahale
 kahazgA - xevI	 kahazgA - xevI
 kiyA - GAtA - naPA	 kara - GAtA - naPA
 BOMka	 BOMka
 samhAle	 samhAla
 hue - I	 ho - I
 Koxawe - Koxawe	 Koxa - Koxa
 nikalA - yaha	 nikalA - yaha
 barrAwe	 barrA
 WI - kaBI	 WA - kaBI
 lagA - Aye	 lagA - A
 KA - pI	 KA - pI
 bajAwe - bajAwe	 bajA - bajA
 Cedar¡	 Cedar
 bolI - waba	 bolI - waba
 hE - isakA	 hE - yaha
 kiyA - Ci	 kara - Ci
 AwI - kaBI	 A - kaBI
 nahA - Xokara	 nahA - Xo
 pAnA	 pAnA
 bole - bawA	 bola - bawA
 hEM - ninxaka	 hE - niMxaka
 kahA - sunA	 kahA - sunA
 nAyakarAma - bawA	 nAyakarAma - bawA
 WA - vahI	 WA - vahI
 lagI - yaxyapi	 lagA - yaxyapi
 bolA - aBI	 bolA - aBI
 kOMXa	 kOMXa
 kiyA - cUhe	 kara - cUhA
 bolI - wumhAre	 bolI - wU
 kahA - xeKawe	 kahA - xeKa
 WI - unake	 WA - vaha
 hazsanA - bolanA	 hazsa - bola
 GUmawe - GAmawe	 GUma - GAmawe
 KujalAne	 KujalA
 sunxariyAz	 sunxarI
 calAyA - kyA	 calA - kyA
 bolI - pagalA	 bolI - pagalA
 jAne - Ane	 jAna - AnA
 WA - wumheM	 WA - wU
 WA - jalxa	 WA - jalxa
 wunaka	 wunaka
 pUCA - isameM	 pUCa - yaha
 jyoM - kA - wyoM	 jyoM - kA - wyoM
 alalle - walalle	 alalle - walalle
 gazvAkara	 gazvA
 haMsawI - bolawI	 haMsa - bola
 gunagunAne	 gunagunA
 rOMxa	 rOMxa
 saheja	 saheja
 GabadZAo	 GabadZA
 hE - SIwala	 hE - SIwala
 Pale - PUleMgI	 Pala - PUla
 kahA - Ae	 kahA - A
 bolIM - mEM	 bola - mEM
 kahA - yaha	 kahA - yaha
 bETe - bETe	 bETa - bETa
 wAdZI - SarAba	 wAdZa - SarAba
 banA - banAyA	 banA - banA
 sUKA - bUdZA	 sUKA - bUdZA
 kahA - Aja	 kahA - Aja
 wasa	 wasa
 wA	 wA
 GabarAnA	 GabarA
 kahA - Apa	 kahA - Apa
 liKA - mere	 liKA - merA
 kahA - rupaye	 kahA - rupayA
 Gate	 GatA
 pUCA - kiwane	 pUCa - kiwanA
 cuBawA	 cuBawA
 sunI - sunAI	 suna - sunAI
 kUto	 kUta
 kahA - Aha	 kahA - Aha
 wodZa - PodZakara	 wodZa - PodZa
 paDZAUzgI	 paDZA
 KilAo - pilAo	 KilA - pilA
 caDZAye	 caDZA
 WA - kahIM	 WA - kahIM
 Taharakara	 Tahara
 JakaJorakara	 JakaJora
 pakadZawe - pakadZawe	 pakadZa - pakadZa
 huA - sA	 ho - sA
 kahA - aboXa	 kahA - aboXa
 nahIM - mArapIta	 nahIM - mArapIta
 paDZA - liKA	 paDZA - liKA
 biKarA	 biKarA
 sUzGa	 sUzGa
 Ae - baDZe	 A - baDZa
 pUCA - wo	 pUCa - wo
 BAgawe - BAgawe	 BAga - BAga
 kahA - EsA	 kahA - EsA
 pUCA - wU	 pUCa - wU
 KAwe - pIwe	 KAwA - pI
 AyA - saba	 AyA - saba
 sirajA	 sirajA
 kara - XAra	 kara - XAra
 xeKA - aba	 xeKA - aba
 CiwarA	 CiwarA
 jInevAlI	 jI
 rahiye	 raha
 gayA - xuniyA	 jA - xuniyA
 baDZawI - GatawI	 baDZa - Gata
 laxakara	 laxa
 uTI - vaha	 uTA - vaha
 kahA - WodZe - se	 kahA - WodZA - se
 hEM - ro	 hE - ro
 WIM - soPI	 WA - soPI
 bolA - xeKa	 bolA - xeKa
 liKawI - jalxa	 liKa - jalxa
 gaye - Aha	 jA - Aha
 kI - xeKawe	 kA - xeKa
 kahA - cIja	 kahA - cIja
 samhala	 samhala
 rucawA	 ruca
 bulAUzgI	 bulA
 kahA - ammAMjI	 kahA - ammAMjI
 hE - unake	 hE - vaha
 kiyA - mariyama	 kara - mariyama
 bole - praBu	 bola - praBu
 XakkA - sA	 XakkA - sA
 wadZapa - wadZapa	 wadZapa - wadZapa
 sarakakara	 saraka
 uTa - bETa	 uTa - bETa
 bolI - sUre	 bolI - sUre
 juwe	 juwA
 lapakAwA	 lapakA
 Wore	 Wore
 kahA - basa	 kahA - basa
 pakadazrgA	 pakadazrgA
 kiyA - calakara	 kara - cala
 BulavAnA	 BulavA
 kamA - kamAkara	 kamA - kamA
 sajakara	 saja
 pIjiyegA	 pI
 ToMka - ToMkakara	 ToMka - ToMka
 dUbawe - uwarAwe	 dUba - uwarA
 kahA - hAz	 kahA - hAz
 WA - eka	 WA - eka
 KadZA - KadZA	 KadZA - KadZA
 kahA - samaJa	 kahA - samaJa
 padZI - wumhAre	 padZA - wU
 GUmanA - PiranA	 GUma - Pira
 bolI - wumane	 bolI - wU
 samhalane	 samhala
 WA - BEyA	 WA - BEyA
 poMCa - poMCa	 poMCa - poMCa
 katI - sI	 katA - sI
 gAo	 gA
 kahUMgA - pUjya	 kaha - pUjya
 Bafaka	 Bafaka
 vicArane	 vicAra
 kiyA - vAha	 kara - vAha
 kahA - socawe - socawe	 kahA - soca - soca
 rowe - rowe	 rowA - rowA
 bolI - saca	 bolI - saca
 pahacAneM	 pahacAna
 sawAwA	 sawA
 pAleMge	 pAla
 gae - hAM	 jA - hAz
 taKa	 taKa
 nikalawe - nikalawe	 nikala - nikala
 tokA - sowI	 tokA - sowA
 gaMvAe	 gaMvA
 pakane	 paka
 pakAnA	 pakA
 gaMvAI	 gaMvA
 hE - milA	 hE - milA
 dUbe - dAbegA	 dUbA - dAbegA
 uTA - waba	 uTA - waba
 kahA - kahAM	 kahA - kahAM
 bole - muJe	 bola - mEM
 lage - agara	 lagA - agara
 bole - ye	 bola - yaha
 samaJA - kisa	 samaJA - kOna
 lagUzgI	 laga
 WI - wumhAre	 WA - wU
 WI - wumhArI	 WA - wU
 bolA - mEM	 bolA - mEM
 piyeM	 pI
 kahA - BagavAn	 kahA - BagavAn
 kahA - piwA	 kahA - piwA
 WA - kyA	 WA - kyA
 baDakZara	 baDa
 honA - havAnA	 ho - havAnA
 hEM - abalA	 hE - abalA
 bole - lo	 bola - lo
 xilavAiegA	 xilavA
 kahA - barabasa	 kahA - barabasa
 JulasAne	 JulasA
 baztane	 bazta
 kahA - seTajI	 kahA - seTajI
 kahA - nEnA	 kahA - nEnA
 burA	 burA
 pUCA - becAre	 pUCa - becArA
 dOYktara - vE	 dOYktara - vE
 bAzXAwe	 bAzXAwe
 samaJIM	 samaJa
 pUCA - Apane	 pUCa - Apa
 uTA - sunawA	 uTA - suna
 BUKe - naMge	 BUKA - naMgA
 uTawe - hAz - hAz	 uTa - hAz - hAz
 sunawI - sunawI	 suna - suna
 gaI - isa	 jA - yaha
 nibAhane	 nibAha
 udZelakara	 udZela
 pahuzcAegA	 pahuzcA
 camakane	 camaka
 Upara - hI - Upara	 Upara - hI - Upara
 kare - wU	 kara - wU
 jI - Bara	 jI - Bara
 catakane	 cataka
 iwarAwA	 iwarA
 hE - saba - ispektara	 hE - saba - ispektara
 xiyA - yaha	 xiyA - yaha
 pUCegI - iwane	 pUCa - iwanA
 KarIxane - becane	 KarIxa - beca
 Ao - jAo	 Ao - jA
 kAtI - BEyA	 kAta - BEyA
 padar¡	 padar
 Soka - GatA	 Soka - GatA
 xeKA - kyA	 xeKA - kyA
 hE - vaha	 hE - vaha
 biTAUzgA	 biTA
 pakadanYA	 pakadanYA
 kahA - Coda	 kahA - Coda
 BAge - BAge	 BAga - BAga
 cabAwe - cabAwe	 cabA - cabA
 xUz - bahana	 xe - bahana
 bolI - wo	 bolI - wo
 gaIM - inakI	 jA - yaha
 kahA - BAga	 kahA - BAga
 jIwi - jAgawI	 jIwi - jAga
 gaIM - nahIM	 jA - nahIM
 kahalAUzgA	 kahalA
 AyA - usI	 AyA - vaha
 CalI	 CalI
 CAzta - CAztakara	 CAzta - CAzta
 rone - Xone	 ronA - Xo
 kahA - kahawe	 kahA - kaha
 kahA - Ajakala	 kahA - Ajakala
 bolA - cudZEla	 bolA - cudZEla
 mAre - mAre	 mAre - mAre
 kahA - jAne	 kahA - jAna
 WapaWapAkara	 WapaWapA
 suXAranA	 suXAra
 Tahara - Tahara	 Tahara - Tahara
 bETe - bETAe	 bETa - bETA
 jIwa - hI - jIwa	 jIwa - hI - jIwa
 socA - apane	 socA - apanA
 xabAwI	 xabA
 pUCA - hameM	 pUCa - mEM
 WI - BEyA	 WA - BEyA
 CipAyI	 CipA
 CipegA	 Cipa
 lagI - vaha	 lagA - vaha
 hazsogI	 hazsa
 Jarawe	 Jara
 xOdZawe - xOdZawe	 xOdZa - xOdZa
 XazsI	 XazsA
 baseMge	 basa
 bilaKane	 bilaKa
 bahakAe	 bahakA
 PUtegI	 PUta
 mAra - mArakara	 mAra - mAra
 bolI - bilkula	 bolI - bilkula
 samhalI	 samhala
 bole - kahAz	 bola - kahAz
 bole - AKira	 bola - AKira
 hEM - vinaya	 hE - vinaya
 hilA - hilAkara	 hilA - hilA
 jAnawA - xeKo	 jAna - xeKo
 WI - calo	 WA - cala
 BUla - sI	 BUla - sI
 BUla - se	 BUla - se
 bolIM - yaha	 bola - yaha
 lI - aba	 le - aba
 rahI - yaha	 raha - yaha
 lapeta	 lapeta
 BInI - BInI	 BInA - BInA
 gAnA - bajAnA	 gAnA - bajA
 kiyA - rAwa	 kara - rAwa
 A - Akara	 A - Akara
 bole - Apako	 bola - Apa
 lagA - xeKUz	 lagA - xeKa
 pUCA - usakA	 pUCa - usakA
 biwAne	 biwA
 muraJAI	 muraJA
 calI - jiXara	 calA - jiXara
 jiyegA	 jI
 sIKA - kyA	 sIKA - kyA
 cIra - cIrakara	 cIra - cIra
 EMTI	 EMTa
 jodZa - jodZakara	 jodZa - jodZa
 kUxI	 kUxa
 bolA - saMBava	 bolA - saMBava
 kUxe	 kUxa
 BulavAne	 BulavA
 padeMgZe	 padeMgZe
 soPZiyA - acCI	 soPZiyA - acCA
 bawAvegA	 bawAvegA
 bolI - jaba	 bolI - jaba
 milawA - julawA	 mila - julawA
 kahA - isalie	 kahA - isalie
 hEM - mEM	 hE - mEM
 PirAye	 PirA
 suKAsIna	 suKAsIna
 xiyA - birAxarI	 xiyA - birAxarI
 laharAI	 laharA
 banI - bigadZI	 bana - bigadZA
 CodanA	 Coda
 AMsU - BarI	 AMsU - BarA
 GasItakara	 GasIta
 padZIM - BEyA	 padZa - BEyA
 hilAyA - unheM	 hilA - vaha
 bolI - AKira	 bolI - AKira
 GusI	 Gusa
 bolI - bAbUjI	 bolI - bAbUjI
 xUzgA - ApakI	 xe - Apa
 mitaT - muJe	 mitaT - mEM
 uwareM	 uwara
 dAla - dAla	 dAla - dAla
 WA - mEMne	 WA - mEM
 kahA - bakane	 kahA - baka
 uTI - na	 uTA - na
 xeKo - unameM	 xeKo - vaha
 ladZaKadZA	 ladZaKadZA
 xI - buDZiyA	 xe - buDZiyA
 sUraxAsa - hAz	 sUraxAsa - hAz
 We - kyA	 WA - kyA
 pahuMcawe - pahuMcawe	 pahuMca - pahuMca
 bole - SAyaxa	 bola - SAyaxa
 pukArA - aba	 pukAra - aba
 uTo - bETo	 uTa - bETa
 bulavAwA	 bulavA
 pIsa - pIsakara	 pIsa - pIsa
 hila - mila	 hila - mila
 akele	 akele
 rahA - jisake	 raha - jo
 unakI - sI	 vaha - sI
 pUCA - muJe	 pUCa - mEM
 lajAwe - lajAwe	 lajA - lajA
 kamalagattA	 kamalagattA
 mUzxakara	 mUzxa
 uKadZI	 uKadZa
 uKadZe	 uKadZA
 bolI - kOna	 bolI - kOna
 sugabugAye	 sugabugA
 kahArane	 kahArane
 gayA - hazsane	 jA - hazsa
 soPI - wumane	 soPI - wU
 bolA - lekina	 bolA - lekina
 pUCA - Apako	 pUCa - Apa
 kahA - agnisena	 kahA - agnisena
 ladAie	 ladA
 lIM - wuma	 le - wU
 ulatawI	 ulata
 KAwe - KAwe	 KAwA - KAwA
 lagA - jise	 lagA - jo
 XikkArA - mEMne	 XikkAra - mEM
 kahA - BiKArina	 kahA - BiKArina
 gayA - muJe	 jA - mEM
 hAzkawe	 hAzka
